43.9,1.31,1.716
40.3,1.245,1.55
36.6,1.184,1.401
32.7,1.127,1.27
28.5,1.058,1.119
24.1,0.966,0.9331
19.4,0.8935,0.7983
15.3,0.7595,0.5768
10.8,0.6605,0.4362
6.3,0.517,0.2672
